Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
MSFT,0.0659832879900932,1986-05-22,1986-05-27,0.0681116059422493,1,0.04
MSFT,0.0675795525312423,1986-06-23,1986-06-25,0.0659832879900932,-1,0.01
MSFT,0.0627907365560531,1986-08-22,1986-08-29,0.0606617853045463,1,-0.26
MSFT,0.0590655170381069,1986-09-02,1986-09-03,0.0574692673981189,-1,0.02
MSFT,0.061193861067295,1986-09-16,1986-09-17,0.0627907365560531,1,0.01
MSFT,0.0638549327850341,1986-09-23,1986-09-25,0.0617259554564952,-1,0.05
MSFT,0.0681116059422493,1986-10-08,1986-10-09,0.0702399909496307,1,0.04
MSFT,0.2091242969036102,1987-06-15,1987-06-16,0.2133810669183731,-1,-0.19
MSFT,0.2218951284885406,1987-08-17,1987-08-21,0.227748617529869,1,0.01
MSFT,0.1670862734317779,1987-10-26,1987-10-27,0.1756002753973007,-1,-0.33
MSFT,0.2192345708608627,1987-12-21,1987-12-23,0.226684421300888,1,0.05
MSFT,0.2447766810655594,1988-02-17,1988-02-18,0.2469051033258438,-1,-0.14
MSFT,0.2469051033258438,1988-02-18,1988-02-23,0.253290057182312,1,0.01
MSFT,0.2405194044113159,1988-03-31,1988-04-04,0.2351985424757003,-1,-0.0
MSFT,0.2389231920242309,1988-05-26,1988-05-31,0.2469051033258438,1,0.05
MSFT,0.247969165444374,1988-07-28,1988-07-29,0.253290057182312,-1,-0.2
MSFT,0.2213629931211471,1988-10-24,1988-10-25,0.2149772644042968,1,-0.23
MSFT,0.210720494389534,1988-10-28,1988-11-02,0.2011424899101257,-1,0.1
MSFT,0.2160421162843704,1988-12-19,1988-12-21,0.2224272042512893,1,0.03
MSFT,0.2245556116104126,1989-03-13,1989-03-15,0.2139131277799606,-1,0.11
MSFT,0.2330694794654846,1989-04-27,1989-04-28,0.2378589212894439,1,-0.01
MSFT,0.2330694794654846,1989-06-26,1989-06-28,0.2245556116104126,-1,0.06
MSFT,0.2500976026058197,1989-08-09,1989-08-14,0.2426477372646331,1,-0.24
MSFT,0.3331089913845062,1989-12-18,1989-12-19,0.3421550393104553,-1,-0.22
MSFT,0.3778069019317627,1990-01-02,1990-01-04,0.391110360622406,1,0.05
MSFT,0.5874632596969604,1990-07-27,1990-07-31,0.566178560256958,-1,0.06
MSFT,0.5608575344085693,1990-10-02,1990-10-04,0.5459576845169067,1,-0.22
MSFT,0.4810388088226318,1990-10-17,1990-10-18,0.5204159021377563,-1,-0.47
MSFT,0.5512794256210327,1990-10-25,1990-10-26,0.5395722985267639,1,-0.2
MSFT,0.8364968299865723,1991-03-25,1991-03-26,0.8950299620628357,-1,-0.41
MSFT,0.917379915714264,1991-03-27,1991-04-02,0.9556927680969238,1,0.08
MSFT,0.842881977558136,1991-04-30,1991-05-03,0.8620391488075256,-1,-0.2
MSFT,0.9386639595031738,1991-05-30,1991-06-04,0.9620776176452636,1,0.0
MSFT,0.8684242963790894,1991-06-27,1991-07-01,0.9115263223648072,-1,-0.32
MSFT,0.9227008819580078,1991-08-05,1991-08-06,0.9514352083206176,1,0.03
MSFT,1.558055400848389,1992-02-26,1992-02-27,1.5947718620300293,-1,-0.21
MSFT,1.5548624992370603,1992-03-10,1992-03-11,1.5357062816619873,1,-0.16
MSFT,1.5357062816619873,1992-03-11,1992-03-16,1.5867902040481567,-1,-0.25
MSFT,1.64106547832489,1992-03-20,1992-03-26,1.5963680744171145,1,-0.23
MSFT,1.548477292060852,1992-04-06,1992-04-07,1.4814296960830688,-1,0.09
MSFT,1.569230079650879,1992-06-02,1992-06-08,1.510164499282837,1,-0.27
MSFT,1.393629550933838,1992-06-16,1992-06-22,1.4223642349243164,-1,-0.19
MSFT,1.4271528720855713,1992-08-31,1992-09-03,1.4678606986999512,1,0.02
MSFT,1.7240782976150513,1992-12-17,1992-12-22,1.6809755563735962,-1,0.01
MSFT,1.6139280796051023,1993-03-19,1993-03-24,1.652241587638855,1,-0.0
MSFT,1.5804039239883425,1993-04-27,1993-04-28,1.6474517583847046,-1,-0.29
MSFT,1.70731520652771,1993-05-10,1993-05-12,1.652241587638855,1,-0.25
MSFT,1.704921007156372,1993-06-29,1993-07-01,1.669002652168274,-1,-0.01
MSFT,1.4798336029052734,1993-09-22,1993-09-24,1.5325130224227903,1,0.05
MSFT,1.503778100013733,1993-11-08,1993-11-10,1.5588536262512207,-1,-0.26
MSFT,1.5373027324676514,1993-11-18,1993-11-22,1.4750441312789917,1,-0.28
MSFT,1.4822280406951904,1993-11-23,1993-11-26,1.5133569240570068,-1,-0.19
MSFT,1.637873649597168,1993-12-07,1993-12-08,1.5995609760284424,1,-0.21
MSFT,1.5253300666809082,1994-02-09,1994-02-28,1.5804039239883425,-1,-0.26
MSFT,1.6235071420669556,1994-03-18,1994-03-24,1.671397089958191,1,0.02
MSFT,1.8964852094650269,1994-07-08,1994-07-11,1.853384017944336,-1,-0.01
MSFT,2.021002769470215,1994-08-04,1994-08-10,2.0736820697784424,1,0.0
MSFT,2.0976274013519287,1994-10-10,1994-10-12,2.155097484588623,-1,-0.22
MSFT,2.2844038009643555,1994-10-20,1994-10-26,2.337082862854004,1,-0.01
MSFT,2.327505350112915,1994-12-27,1995-01-13,2.404130697250366,-1,-0.24
MSFT,2.3610286712646484,1995-01-20,1995-01-26,2.2939820289611816,1,-0.23
MSFT,2.2604572772979736,1995-01-30,1995-02-06,2.332294464111328,-1,-0.24
MSFT,2.4232866764068604,1995-03-01,1995-03-07,2.503503799438477,1,0.03
MSFT,3.543938398361206,1995-08-31,1995-09-01,3.4385759830474854,-1,0.02
MSFT,3.6732428073883057,1995-10-25,1995-10-26,3.7546558380126953,1,-0.02
MSFT,3.347583770751953,1995-11-22,1995-11-28,3.505624532699585,-1,-0.31
MSFT,3.4673123359680176,1996-01-26,1996-01-31,3.543938398361206,1,-0.02
MSFT,4.238359451293945,1996-07-15,1996-07-16,4.420342922210693,-1,-0.29
MSFT,4.779526710510254,1996-08-07,1996-09-05,4.65501070022583,1,-0.22
MSFT,6.920257568359375,1997-03-25,1997-03-26,7.221968650817871,-1,-0.3
MSFT,8.24683666229248,1997-04-18,1997-04-22,8.476717948913574,1,-0.01
MSFT,10.12895393371582,1997-08-29,1997-09-02,10.512085914611816,-1,-0.28
MSFT,10.512085914611816,1997-09-02,1997-09-03,10.464190483093262,1,-0.14
MSFT,10.464190483093262,1997-09-03,1997-09-08,10.674912452697754,-1,-0.2
MSFT,10.401937484741213,1997-10-15,1997-10-17,10.133746147155762,1,-0.23
MSFT,10.39235496520996,1997-10-23,1997-10-27,9.875136375427246,-1,0.08
MSFT,10.65096664428711,1997-11-25,1997-12-01,11.019725799560549,1,0.02
MSFT,9.448902130126951,1997-12-23,1997-12-24,9.113667488098145,-1,0.03
MSFT,10.861684799194336,1998-01-26,1998-01-27,11.125091552734377,1,-0.03
MSFT,13.131721496582031,1998-05-12,1998-05-14,13.629790306091309,-1,-0.28
MSFT,14.510987281799316,1998-06-19,1998-06-23,15.440068244934082,1,0.13
MSFT,16.445783615112305,1998-08-17,1998-08-18,17.04920768737793,-1,-0.28
MSFT,17.04920768737793,1998-08-18,1998-08-28,16.129709243774414,1,-0.36
MSFT,14.702545166015623,1998-08-31,1998-09-01,15.516695976257324,-1,-0.36
MSFT,17.32697296142578,1998-09-25,1998-09-30,16.867223739624023,1,-0.25
MSFT,14.424781799316406,1998-10-07,1998-10-08,13.974603652954102,-1,-0.0
MSFT,16.196748733520508,1998-10-28,1998-11-06,16.75228500366211,1,0.0
MSFT,23.006855010986328,1999-02-26,1999-03-05,23.744388580322266,-1,-0.28
MSFT,24.54895401000977,1999-03-12,1999-03-15,25.42057991027832,1,-0.01
MSFT,25.1523666381836,1999-04-29,1999-05-03,24.481903076171875,-1,-0.04
MSFT,27.259580612182617,1999-06-21,1999-06-22,26.51247978210449,1,-0.27
MSFT,26.091039657592773,1999-08-06,1999-08-10,25.42057991027832,-1,-0.05
MSFT,28.274879455566406,1999-08-30,1999-09-03,29.38593864440918,1,-0.0
MSFT,28.274879455566406,1999-10-20,1999-10-28,27.54694175720215,-1,-0.05
MSFT,29.462566375732425,1999-12-03,1999-12-07,28.50474739074707,1,-0.29
MSFT,29.99895095825196,2000-01-31,2000-02-01,31.55060768127441,-1,-0.37
MSFT,34.23252487182617,2000-03-24,2000-03-27,31.89542579650879,1,-0.44
MSFT,27.29789924621582,2000-04-07,2000-04-10,26.37838554382324,-1,-0.02
MSFT,22.968530654907227,2000-06-20,2000-06-21,24.730937957763672,1,0.15
MSFT,21.35941505432129,2000-07-28,2000-08-08,22.71951484680176,-1,-0.4
MSFT,21.1103744506836,2000-10-31,2000-11-02,21.55097389221192,1,-0.06
MSFT,16.2829532623291,2000-12-07,2000-12-08,16.68523597717285,-1,-0.23
MSFT,19.29051971435547,2001-01-24,2001-01-29,19.76942443847656,1,-0.05
MSFT,16.5511417388916,2001-03-14,2001-03-20,16.148862838745117,-1,-0.04
MSFT,18.632299423217773,2001-04-16,2001-04-18,20.054468154907227,1,0.16
MSFT,21.102706909179688,2001-06-25,2001-06-27,21.804601669311523,-1,-0.27
MSFT,21.63908767700196,2001-07-02,2001-07-05,20.998498916625977,1,-0.26
MSFT,20.13416290283203,2001-07-09,2001-07-12,21.94559097290039,-1,-0.49
MSFT,20.32725143432617,2001-07-24,2001-07-26,20.410001754760746,1,-0.13
MSFT,20.410001754760746,2001-07-26,2001-08-08,19.8797664642334,-1,-0.04
MSFT,18.79474449157715,2001-10-24,2001-10-25,19.1748104095459,1,-0.06
MSFT,19.55487060546875,2002-01-25,2002-01-29,19.10125160217285,-1,-0.05
MSFT,17.161081314086914,2002-06-18,2002-06-19,16.661487579345703,1,-0.25
MSFT,15.89522647857666,2002-07-12,2002-07-19,15.190274238586426,-1,0.04
MSFT,16.005563735961914,2002-08-23,2002-08-27,15.582592964172363,1,-0.24
MSFT,14.656954765319824,2002-09-06,2002-09-10,15.260767936706545,-1,-0.29
MSFT,16.290620803833008,2002-10-18,2002-10-22,15.836990356445312,1,-0.24
MSFT,16.278348922729492,2002-12-19,2002-12-31,15.846192359924316,-1,-0.03
MSFT,17.246910095214844,2003-01-15,2003-01-17,15.772624969482422,1,-0.46
MSFT,15.732781410217283,2003-01-21,2003-01-24,15.279157638549805,-1,-0.02
MSFT,16.33991813659668,2003-03-21,2003-03-24,15.55275058746338,1,-0.32
MSFT,14.857831954956056,2003-05-22,2003-05-27,15.245271682739258,-1,-0.23
MSFT,16.19232749938965,2003-06-20,2003-06-23,15.854098320007324,1,-0.21
MSFT,15.749542236328123,2003-08-11,2003-08-19,16.37067413330078,-1,-0.28
MSFT,16.309181213378906,2003-08-29,2003-09-02,16.76426124572754,1,-0.03
MSFT,16.15330696105957,2003-10-30,2003-11-03,16.49962043762207,-1,-0.21
MSFT,16.920146942138672,2003-12-19,2004-01-05,17.402523040771484,1,-0.03
MSFT,16.7902774810791,2004-02-11,2004-02-13,16.44396209716797,-1,-0.06
MSFT,16.845935821533203,2004-04-26,2004-04-28,16.425405502319336,1,-0.23
MSFT,16.62331199645996,2004-08-12,2004-08-18,16.98198699951172,-1,-0.21
MSFT,17.441452026367188,2004-10-04,2004-10-20,17.801197052001953,1,-0.06
MSFT,18.47831153869629,2005-01-11,2005-01-14,18.056623458862305,-1,-0.05
MSFT,17.495174407958984,2005-05-02,2005-05-18,17.877620697021484,1,-0.06
MSFT,17.606321334838867,2005-06-23,2005-07-01,17.18895149230957,-1,-0.05
MSFT,18.19760513305664,2005-07-19,2005-07-26,17.766321182250977,1,-0.23
MSFT,18.139951705932617,2005-09-19,2005-09-22,17.67947769165039,-1,-0.04
MSFT,18.84461975097656,2005-11-07,2005-11-15,19.242734909057617,1,-0.06
MSFT,18.46603012084961,2005-12-28,2006-01-04,18.871871948242188,-1,-0.22
MSFT,19.27072525024414,2006-02-03,2006-02-07,18.85088348388672,1,-0.22
MSFT,18.87263298034668,2006-02-15,2006-03-06,18.893707275390625,-1,-0.14
MSFT,18.893707275390625,2006-03-06,2006-03-17,19.307945251464844,1,-0.06
MSFT,19.03411865234375,2006-04-25,2006-04-28,16.95588493347168,-1,0.26
MSFT,16.549747467041016,2006-07-06,2006-07-12,15.957685470581056,1,-0.27
MSFT,20.57171440124512,2007-02-09,2007-02-15,20.984956741333008,-1,-0.21
MSFT,20.46495819091797,2007-04-16,2007-04-27,21.455093383789062,1,0.03
MSFT,21.07437515258789,2007-06-25,2007-07-17,21.996244430541992,-1,-0.3
MSFT,22.28923797607422,2007-07-23,2007-07-26,21.42453384399414,1,-0.29
MSFT,21.09581184387207,2007-08-02,2007-08-10,20.516969680786133,-1,-0.04
MSFT,21.12672615051269,2007-09-28,2007-10-09,21.585697174072266,1,-0.07
MSFT,24.743730545043945,2008-01-14,2008-01-16,23.90910148620605,-1,-0.03
MSFT,20.867225646972656,2008-04-09,2008-04-11,20.4266300201416,1,-0.22
MSFT,20.42932510375977,2008-05-28,2008-06-03,19.79861259460449,-1,-0.03
MSFT,20.233592987060547,2008-08-14,2008-08-21,19.782957077026367,1,-0.22
MSFT,18.91681480407715,2008-09-16,2008-09-17,17.883264541625977,-1,0.06
MSFT,12.89682674407959,2009-03-30,2009-03-31,13.553474426269531,1,0.05
MSFT,17.606372833251953,2009-08-18,2009-08-21,18.226093292236328,-1,-0.26
MSFT,18.226093292236328,2009-08-21,2009-09-02,17.8154296875,1,-0.22
MSFT,22.251483917236328,2010-01-27,2010-01-29,21.13403511047364,-1,0.04
MSFT,22.310333251953125,2010-03-18,2010-04-09,22.860370635986328,1,-0.06
MSFT,22.182233810424805,2010-05-12,2010-05-18,21.64655303955078,-1,-0.06
MSFT,19.79979133605957,2010-07-27,2010-08-05,19.20186233520508,1,-0.25
MSFT,18.54338455200196,2010-08-16,2010-08-26,18.1248779296875,-1,-0.06
MSFT,18.725997924804688,2010-09-22,2010-10-01,18.55099296569824,1,-0.17
MSFT,18.55099296569824,2010-10-01,2010-10-13,19.281465530395508,-1,-0.28
MSFT,19.197769165039062,2010-10-14,2010-10-18,19.64669609069824,1,-0.06
MSFT,21.05360412597656,2011-02-10,2011-02-22,20.47723960876465,-1,-0.05
MSFT,19.761035919189453,2011-05-02,2011-05-13,19.27586555480957,1,-0.23
MSFT,18.921615600585938,2011-05-16,2011-05-31,19.38670921325684,-1,-0.22
MSFT,20.15411376953125,2011-06-30,2011-07-07,20.75098991394043,1,-0.04
MSFT,19.456478118896484,2011-08-12,2011-08-19,18.760225296020508,-1,-0.01
MSFT,20.195520401000977,2011-09-12,2011-09-14,20.67135238647461,1,-0.06
MSFT,19.415462493896484,2011-09-30,2011-10-05,20.195520401000977,-1,-0.28
MSFT,21.01457023620605,2011-10-10,2011-11-01,20.27351951599121,1,-0.27
MSFT,19.648122787475582,2011-11-21,2011-11-23,19.23158073425293,-1,-0.07
MSFT,20.40260887145996,2011-12-30,2012-01-03,21.03920555114746,1,-0.04
MSFT,24.50823974609375,2012-04-12,2012-04-20,25.64742088317871,-1,-0.31
MSFT,25.33097648620605,2012-04-30,2012-05-04,24.50823974609375,1,-0.26
MSFT,24.24717712402344,2012-05-07,2012-05-17,23.66572380065918,-1,-0.07
MSFT,23.8170223236084,2012-06-28,2012-06-29,24.35849571228028,1,-0.07
MSFT,24.24702262878418,2012-07-18,2012-07-23,23.315359115600582,-1,-0.02
MSFT,23.602027893066406,2012-07-30,2012-07-31,23.46665000915528,1,-0.17
MSFT,23.46665000915528,2012-07-31,2012-08-07,24.095722198486328,-1,-0.24
MSFT,24.28683280944824,2012-08-09,2012-09-06,25.12906074523925,1,-0.04
MSFT,23.934728622436523,2012-10-03,2012-10-10,23.22934913635254,-1,-0.05
MSFT,22.31306266784668,2013-01-23,2013-02-19,22.85632705688477,1,-0.07
MSFT,27.90711784362793,2013-07-03,2013-07-05,28.07122230529785,-1,-0.18
MSFT,28.07122230529785,2013-07-05,2013-07-11,29.285659790039062,1,-0.01
MSFT,26.110105514526367,2013-07-23,2013-08-08,26.988096237182617,-1,-0.27
MSFT,27.798030853271484,2013-09-19,2013-09-20,27.095638275146484,1,-0.24
MSFT,30.315160751342773,2014-01-07,2014-01-09,29.58246612548828,-1,-0.08
MSFT,31.38971710205078,2014-02-18,2014-02-28,32.13629150390625,1,-0.09
MSFT,37.17237091064453,2014-10-14,2014-10-16,36.33083724975586,-1,-0.1
MSFT,40.32603454589844,2014-11-03,2014-11-06,41.3970832824707,1,-0.1
MSFT,40.58893203735352,2014-12-29,2014-12-31,39.733524322509766,-1,-0.11
MSFT,39.733524322509766,2014-12-31,2015-01-05,39.63087844848633,1,-0.19
MSFT,39.63087844848633,2015-01-05,2015-01-08,40.70869445800781,-1,-0.27
MSFT,41.2396125793457,2015-04-24,2015-04-28,42.35092926025391,1,-0.1
MSFT,40.08558654785156,2015-06-22,2015-06-26,39.244510650634766,-1,-0.11
MSFT,39.83414077758789,2015-07-24,2015-07-30,40.649208068847656,1,-0.12
MSFT,35.322547912597656,2015-08-25,2015-08-26,37.27765274047852,-1,-0.35
MSFT,40.847442626953125,2015-10-07,2015-10-20,41.69406509399414,1,-0.12
MSFT,46.37733459472656,2016-01-12,2016-01-13,45.375633239746094,-1,-0.12
MSFT,46.06425476074219,2016-03-10,2016-03-14,47.05546188354492,1,-0.13
MSFT,44.13497161865234,2016-04-29,2016-05-10,45.15272903442383,-1,-0.26
MSFT,46.8676986694336,2016-07-11,2016-07-14,47.89258193969727,1,-0.13
MSFT,51.0427131652832,2016-10-13,2016-10-21,53.49980163574219,-1,-0.36
MSFT,53.49980163574219,2016-10-21,2016-10-24,54.70145034790039,1,-0.14
MSFT,62.63748550415039,2017-07-06,2017-07-10,63.925514221191406,-1,-0.29
MSFT,66.4832534790039,2017-07-14,2017-08-30,67.9670181274414,1,-0.17
MSFT,82.89106750488281,2018-03-28,2018-03-29,84.63438415527344,-1,-0.33
MSFT,87.32356262207031,2018-04-16,2018-04-17,89.08541870117188,1,-0.22
MSFT,103.77393341064452,2018-10-16,2018-10-18,101.4366455078125,-1,-0.23
MSFT,98.41960144042967,2018-12-07,2018-12-10,101.02044677734376,1,-0.22
MSFT,97.6214828491211,2018-12-18,2018-12-20,95.31169891357422,-1,-0.22
MSFT,99.71531677246094,2019-01-24,2019-01-29,96.6544189453125,1,-0.4
MSFT,126.94132995605467,2019-08-15,2019-08-19,131.43287658691406,-1,-0.47
MSFT,131.43287658691406,2019-08-19,2019-08-23,126.66595458984376,1,-0.47
MSFT,126.66595458984376,2019-08-23,2019-08-29,131.1575164794922,-1,-0.47
MSFT,131.1575164794922,2019-08-29,2019-09-03,129.18238830566406,1,-0.41
MSFT,129.18238830566406,2019-09-03,2019-09-04,130.69223022460938,-1,-0.4
MSFT,130.69223022460938,2019-09-04,2019-09-05,132.99021911621094,1,-0.31
MSFT,132.99021911621094,2019-09-05,2019-09-06,132.08811950683594,-1,-0.34
MSFT,132.08811950683594,2019-09-06,2019-09-10,129.2203369140625,1,-0.43
MSFT,158.85845947265625,2020-03-05,2020-03-06,154.3679962158203,-1,-0.33
MSFT,169.1483917236328,2020-04-16,2020-04-21,160.33937072753906,1,-0.58
MSFT,196.9303741455078,2020-09-16,2020-09-18,192.4548797607422,-1,-0.42
MSFT,214.0351104736328,2020-10-13,2020-10-19,205.7372589111328,1,-0.63
MSFT,196.61343383789065,2020-10-29,2020-11-04,207.82130432128903,-1,-0.67
MSFT,207.97499084472656,2020-11-11,2020-11-18,203.25233459472656,1,-0.58
MSFT,204.7641143798828,2021-01-15,2021-01-20,216.0205535888672,-1,-0.67
MSFT,216.0205535888672,2021-01-20,2021-01-25,221.0181121826172,1,-0.48
MSFT,223.76626586914065,2021-03-30,2021-04-01,233.90017700195312,-1,-0.68
MSFT,240.38589477539065,2021-04-05,2021-04-09,246.9295196533203,1,-0.52
MSFT,234.60470581054688,2021-05-18,2021-05-24,242.5951232910156,-1,-0.67
MSFT,245.5262451171875,2021-06-07,2021-06-09,245.3134307861328,1,-0.6
MSFT,245.3134307861328,2021-06-09,2021-06-11,249.4730834960937,-1,-0.64
MSFT,249.4730834960937,2021-06-11,2021-06-22,256.84442138671875,1,-0.53
MSFT,273.2409362792969,2021-09-30,2021-10-01,280.1998291015625,-1,-0.72
MSFT,297.8299255371094,2021-10-18,2021-10-27,313.2210388183594,1,-0.58
MSFT,304.928955078125,2022-01-07,2022-01-13,295.9569091796875,-1,-0.63
MSFT,302.3096008300781,2022-03-28,2022-04-06,291.4120483398437,1,-0.78
MSFT,272.94464111328125,2022-04-18,2022-04-20,278.6268310546875,-1,-0.7
MSFT,269.572021484375,2022-07-28,2022-08-03,275.4820861816406,1,-0.6
MSFT,250.2555084228516,2022-09-02,2022-09-09,258.465087890625,-1,-0.69
MSFT,236.41629028320312,2022-11-18,2022-11-23,242.64962768554688,1,-0.52
MSFT,235.044189453125,2022-12-30,2023-01-04,224.5376739501953,-1,-0.46
MSFT,247.71669006347656,2023-02-01,2023-02-02,259.3307189941406,1,-0.5
MSFT,322.7611999511719,2023-08-04,2023-08-11,316.0948791503906,-1,-0.69
MSFT,331.61505126953125,2023-09-13,2023-09-18,324.70758056640625,1,-0.8
MSFT,315.3036804199219,2023-09-21,2023-09-26,308.01141357421875,-1,-0.67
MSFT,323.3952331542969,2023-10-13,2023-10-25,336.1640930175781,1,-0.68
MSFT,397.19281005859375,2024-04-22,2024-04-24,405.2167663574219,-1,-0.94
MSFT,417.01275634765625,2024-05-17,2024-05-21,425.7756042480469,1,-0.9
MSFT,422.0342712402344,2024-07-26,2024-08-02,405.3819580078125,-1,-0.85
MSFT,436.1368408203125,2024-09-19,2024-09-24,426.6722717285156,1,-1.01
MSFT,413.8970336914063,2024-10-11,2024-10-22,425.02191162109375,-1,-0.99
MSFT,425.658203125,2024-10-25,2024-10-31,403.9850769042969,1,-1.03
MSFT,417.7345886230469,2024-11-06,2024-11-26,426.350830078125,-1,-0.98
MSFT,429.5485534667969,2024-12-03,2024-12-05,440.9248046875,1,-0.93
MSFT,422.9339599609375,2025-01-08,2025-01-14,414.0780334472656,-1,-0.9
MSFT,432.8956604003906,2025-01-27,2025-01-28,445.4872741699219,1,-0.93
MSFT,411.7071228027344,2025-02-05,2025-02-24,403.2596740722656,-1,-0.88
MSFT,434.48236083984375,2025-05-02,2025-05-12,448.4367370605469,1,-0.93
